asv	origin	relative_abundance
ASV 403 Betaproteobacteriales	Modern marine	4.8320886740848824e-5
ASV 404 Gaiellales	Modern marine	4.631794843034732e-5
ASV 405 Altererythrobacter	Old saline	7.46181380909093e-5
ASV 406 Omnitrophicaeota	Modern marine	4.356390825340775e-5
ASV 407 Burkholderiaceae	Old saline	1.2484188488286747e-4
ASV 408 Thiobacillus	Modern marine	4.5566846563909255e-5
ASV 409 Burkholderiaceae	Old saline	1.320167058531472e-4
ASV 410 PS-B29	Modern marine	3.8306195188341295e-5
ASV 411 Latescibacteria	Modern marine	4.45653774086585e-5
ASV 412 CG1-02-40-25	Modern marine	2.2783423281954628e-5
ASV 413 Desulfuromusa	Modern marine	4.1310602654093556e-5
ASV 414 Hydrogenophaga	Modern marine	4.506611198628388e-5
ASV 415 Thermodesulfovibrionia	Old saline	1.2340692068881152e-4
ASV 416 Zixibacteria	Modern marine	4.5566846563909255e-5
ASV 417 Woesearchaeia	Modern marine	3.580252230021442e-5
ASV 418 Woesearchaeia	Modern marine	2.1781954126703874e-5
ASV 419 Sulfurimonas	Old saline	1.2053699230069962e-4
